Name,DOB,ADDRESS,CITY,COUNTRY
Emma Jennings,12/7/1992,"USS Moore
FPO AP 02659",Grossfurt,Botswana
Jeffery Jones,7/7/1988,"688 Williams Heights Apt. 021
Heidimouth, AS 55764",Susantown,Estonia
Christopher Garrett,12/3/1947,"9046 Cassandra Crossing Suite 047
Nashtown, NJ 04461",Bowenfurt,Cayman Islands
Jasmin Erickson,4/12/1967,"5786 Amber Manor Apt. 606
Rebeccatown, UT 17072",South Nathanburgh,Germany
Erik Harris,7/23/1994,"09882 Lauren Common Suite 843
Michaelbury, MT 02417",Derrickside,Christmas Island
Julia Dominguez,10/4/1973,"805 Lee Squares
New Erikachester, AK 42054",Danielside,Martinique
Leslie Welch,9/18/1945,"7668 Danny Turnpike
South Matthewbury, ND 74358",Feliciatown,United States Minor Outlying Islands
Morgan Lewis,12/21/1959,"200 Johnson Terrace Apt. 785
Port Aaron, AK 20741",North Meredithmouth,Guinea-Bissau
Donna Davis,6/11/1925,"95555 Gregory Mountain
New Vanessaview, VI 97626",Markview,Cayman Islands
Stephen Morgan,10/16/1923,"9888 Jennifer Common
North John, NJ 08035",Sallyview,Solomon Islands
Daniel Moran,5/7/2009,"680 David Island Suite 215
Bookerborough, HI 17578",Ariaston,Qatar
Kristen Knight,3/17/1958,"6715 Andrew Lane
South Dennis, MP 23934",Lake Davidport,Mayotte
Christina Stewart,9/13/2014,"4388 Candace Ports
Susanborough, IN 46841",East Danielle,Jordan
Shaun Macias,5/10/1989,"49603 Patterson Extension
Curtischester, AZ 33879",Christopherland,Niue
William Davis,7/20/1932,"3952 Hurley Groves
Josephport, MT 80587",Ariasstad,South Africa
Gregory Brown,8/18/1927,"3736 Davenport Burgs Apt. 332
Maymouth, SD 38153",New Alexischester,Guam
Bradley Alvarez,2/10/1949,"20139 Tina Parkways Apt. 545
Port John, MP 41353",Lake Josephland,Benin
Gregory Fowler,12/11/1923,"5972 Sara Terrace
Mackport, RI 43003",Amberport,Mozambique
Stephanie Byrd,8/21/1966,"636 Shelly Spring
Brownstad, CT 86253",Murrayfort,Australia
Javier Clarke,7/10/1913,"60242 Juan Crescent Apt. 575
Stefaniechester, VA 91087",North Jared,Malta
